idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
442;2;PTO BS AS;DESVIO ARIJON;PTO BS AS;440;880;7;8;1;27000;20/04/2020 00:00;1;2;41;197
443;2;PTO BS AS;BASAVILBASO;PTO BS AS;330;660;5;6;1;27000;23/04/2020 00:00;1;2;42;198
444;2;PTO BS AS;JOSE LEON SUAREZ;PTO BS AS;20;40;1;2;1;6000;23/04/2020 00:00;1;1;43;199
445;2;PTO BS AS;CAPILLA DEL SEÑOR;PTO BS AS;60;120;3;4;1;15000;24/07/2020 00:00;1;2;44;200
446;2;PTO BS AS;GARIN;PTO BS AS;3;4;4;5;1;8000;28/04/2020 00:00;1;1;45;201
447;2;PTO BS AS;BERAZATEGUI;PTO BS AS;25;50;2;3;1;6000;29/04/2020 00:00;1;2;46;202
448;2;PTO BS AS;PARQUE INDUSTRIAL PILAR;PTO BS AS;50;100;2;3;1;6000;29/04/2020 00:00;1;2;49;203
449;2;PTO BS AS; BRANDSEN;PTO BS AS;23;46;1;2;1;6000;29/04/2020 00:00;1;2;50;204
450;2;PTO BS AS;FORMOSA;PTO BS AS;1200;2400;12;14;1;80000;02/05/2020 00:00;1;2;51;205
451;2;PTO BS AS;FIRMAT;PTO BS AS;400;800;8;9;1;28000;02/05/2020 00:00;1;2;52;206
452;2;PTO BS AS;BALCARCE;PTO BS AS;400;800;7;8;1;32000;02/05/2020 00:00;1;2;53;207
453;2;PTO BS AS;CASEROS;PTO BS AS;30;60;2;3;1;6000;07/05/2020 00:00;1;2;54;208
454;2;PTO BS AS;CAPITAN BERMUDEZ;PTO BS AS;320;640;6;7;1;24000;08/05/2020 00:00;1;2;55;209
455;2;PTO BS AS;LOMAS DEL MIRADOR;PTO BS AS;26;52;2;3;1;6000;14/05/2020 00:00;1;2;56;210
456;2;PTO BS AS;SAN FRANCISCO;PTO BS AS;570;1140;8;9;1;36000;14/05/2020 00:00;1;2;57;211
457;2;PTO BS AS;BAHIA BLANCA;PTO BS AS;650;1300;9;10;1;47000;19/05/2020 00:00;1;2;58;212
458;2;PTO BS AS;JUNIN;PTO BS AS;270;540;6;7;1;24000;19/05/2020 00:00;1;2;59;213
459;2;PTO BS AS;SINSACATE ;PTO BS AS;760;1520;11;13;1;45000;20/05/2020 00:00;1;2;60;214
